id_1,aperture_sum_1,annulus_median_1,aper_bkg_1,aper_err_1,aper_bkg_err_1,signal_1,noise_1,ra_1,dec_1,e_H,Hmag,id_2,aperture_sum_2,annulus_median_2,aper_bkg_2,aper_err_2,aper_bkg_err_2,signal_2,noise_2,ra_2,dec_2,e_j,Jmag,Separation_1,id,aperture_sum,annulus_median,aper_bkg,aper_err,aper_bkg_err,signal,noise,ra,dec,e_K,Kmag,Separation
129,23050.0,94.81,10720.0,151.8,313.0,12330.0,347.9,36.813154849295515,61.88827823082743,0.02822,16.96,41,11910.0,27.04,4163.0,109.1,209.0,7750.0,235.8,36.81325664872045,61.888299772727585,0.03043,17.34,0.18929618203199775,47,4533.0,-7.516,-850.1,67.33,145.7,5383.0,160.5,36.81304097375931,61.88839417202821,0.02982,16.41,0.45991961805028775
131,39210.0,81.17,9180.0,198.0,79.44,30030.0,213.3,36.812539096197,61.86490508418632,0.007105,16.0,42,8077.0,18.44,2838.0,89.87,53.01,5239.0,104.3,36.8126899811126,61.864906995668235,0.01992,17.77,0.25623277429162306,49,15490.0,-9.148,-1035.0,124.5,55.32,16530.0,136.2,36.81255124327558,61.864994310322174,0.008241,15.19,0.321875293083676
132,13720.0,77.17,8728.0,117.1,81.86,4991.0,142.9,36.812510670623105,61.88542145551435,0.02863,17.94,43,4227.0,17.76,2734.0,65.02,52.16,1493.0,83.35,36.81268453749474,61.88541948594097,0.05582,19.13,0.2950418046228828,51,1201.0,-11.17,-1264.0,34.66,52.83,2465.0,63.19,36.8124066417639,61.88553497859864,0.02563,17.26,0.4451594050226698
133,56730.0,79.14,8951.0,238.2,82.49,47780.0,252.1,36.81248949203106,61.89242159670558,0.005276,15.49,44,21850.0,18.07,2782.0,147.8,68.91,19060.0,163.1,36.812651171683875,61.89242042170785,0.008554,16.37,0.274251472359199,50,15920.0,-13.35,-1510.0,126.2,53.69,17430.0,137.1,36.81235469456689,61.892550741602896,0.007868,15.14,0.5180938871616428
136,1405000.0,179.8,20330.0,1185.0,461.6,1385000.0,1272.0,36.812427659242836,61.88875128963006,9.186E-4,11.84,45,704000.0,61.95,9536.0,839.0,273.4,694400.0,882.4,36.81257767322876,61.888750886527234,0.001271,12.46,0.2544677944471821,54,490200.0,29.88,3380.0,700.1,229.0,486800.0,736.6,36.812312447884565,61.88887288605545,0.001513,11.52,0.4793901809512099
137,818000.0,139.0,15720.0,904.4,284.7,802300.0,948.2,36.81210291324504,61.85853112355428,0.001182,12.43,46,262000.0,37.23,5731.0,511.8,118.7,256200.0,525.4,36.81225149858468,61.858528073839906,0.00205,13.55,0.2525278935509066,55,497100.0,30.41,3439.0,705.0,219.2,493600.0,738.3,36.81215130137643,61.85860898049304,0.001496,11.51,0.29207866737106497
140,13230.0,77.16,8727.0,115.0,67.22,4505.0,133.2,36.8116115072571,61.87598838872346,0.02957,18.06,47,4655.0,16.99,2615.0,68.23,50.62,2040.0,84.96,36.8117633892684,61.87598627004001,0.04164,18.79,0.25785258622565144,58,384.3,-11.77,-1332.0,19.6,41.14,1716.0,45.58,36.81155670004173,61.876092384705174,0.02656,17.65,0.38576506791558685
141,28460.0,79.41,8981.0,168.7,80.36,19480.0,186.9,36.81161828731373,61.8947439798703,0.009592,16.47,48,8607.0,17.1,2632.0,92.77,66.71,5975.0,114.3,36.811782663761306,61.89474390657086,0.01912,17.63,0.27877174523204934,59,7286.0,-12.77,-1445.0,85.36,56.7,8731.0,102.5,36.81147034013531,61.894876317865034,0.01174,15.89,0.5384494719936019
142,18100.0,77.28,8741.0,134.5,70.03,9361.0,151.7,36.81151952745558,61.874552996794876,0.0162,17.26,49,5852.0,17.73,2730.0,76.5,53.94,3122.0,93.6,36.81166240546337,61.87454461398279,0.02998,18.33,0.24434236263107645,60,2746.0,-12.72,-1439.0,52.41,44.42,4185.0,68.7,36.81147840391773,61.87465848877297,0.01641,16.69,0.38613024704546767
143,24990.0,76.77,8683.0,158.1,71.92,16310.0,173.7,36.81140998875911,61.877178101803096,0.01065,16.66,50,7422.0,17.77,2735.0,86.15,58.26,4687.0,104.0,36.81155919153014,61.87717525288103,0.02219,17.89,0.25339096714368736,61,6855.0,-11.78,-1332.0,82.8,47.28,8188.0,95.35,36.81134987192587,61.877284110154534,0.01164,15.96,0.39502919301506767
146,20100.0,87.87,9938.0,141.8,176.6,10160.0,226.5,36.81068455139392,61.85850973203722,0.02229,17.17,51,6801.0,23.1,3555.0,82.47,105.9,3246.0,134.3,36.8108415815934,61.85850696538635,0.04136,18.29,0.26681413855623803,62,4064.0,-6.169,-697.7,63.75,132.7,4762.0,147.3,36.8107495169769,61.858586041461585,0.03092,16.55,0.29603297125333916
148,17750.0,78.96,8931.0,133.2,66.68,8820.0,149.0,36.810355413791136,61.866296682829415,0.01689,17.33,52,4976.0,18.41,2835.0,70.54,53.37,2141.0,88.46,36.81050988744273,61.86629622730351,0.04132,18.74,0.2622257764784428,64,3368.0,-9.95,-1125.0,58.04,42.39,4494.0,71.87,36.81036351090669,61.86638320825672,0.01599,16.61,0.31179464592150774
152,40390.0,83.29,9419.0,201.0,73.39,30970.0,214.0,36.80890810268566,61.8585257371174,0.006908,15.96,53,11720.0,20.87,3213.0,108.2,49.85,8504.0,119.2,36.809049710933174,61.85852468379082,0.01401,17.24,0.240472362370706,67,12060.0,-11.11,-1256.0,109.8,49.29,13310.0,120.4,36.808957128655194,61.858601407822825,0.00904,15.43,0.28484925092245783
154,57400.0,83.28,9419.0,239.6,70.1,47980.0,249.6,36.808585820974734,61.86328872491615,0.005203,15.49,54,17200.0,21.05,3240.0,131.2,44.58,13960.0,138.5,36.80873153014094,61.86328803002491,0.009921,16.71,0.24737977686466053,69,19970.0,-10.92,-1235.0,141.3,47.18,21200.0,149.0,36.80861420504461,61.86337094861099,0.007026,14.92,0.2999018472829975
156,23400.0,87.74,9923.0,153.0,89.22,13480.0,177.1,36.8084216094037,61.86069111924597,0.01314,16.87,55,7798.0,23.52,3620.0,88.3,67.23,4178.0,111.0,36.8085658291145,61.860692668959494,0.02657,18.02,0.24492280943057196,71,5288.0,-9.18,-1038.0,72.72,66.48,6327.0,98.53,36.80845920027462,61.86076994472202,0.01557,16.24,0.2908602687967707
157,21370.0,77.73,8791.0,146.2,60.56,12570.0,158.2,36.80817852223426,61.88044157797806,0.01258,16.94,56,9197.0,17.74,2731.0,95.9,47.55,6467.0,107.0,36.80832618936413,61.88044139925571,0.01655,17.54,0.25055159059412546,72,3074.0,-13.24,-1498.0,55.44,40.03,4571.0,68.38,36.80810560738562,61.88055081019429,0.01496,16.59,0.4122381231197697
159,429800.0,118.6,13420.0,655.6,180.8,416400.0,680.1,36.80730200443952,61.86141283517655,0.001633,13.14,57,66020.0,28.03,4315.0,256.9,73.5,61700.0,267.2,36.80745511342352,61.86141197818065,0.004331,15.09,0.25996385172842096,74,266100.0,14.36,1624.0,515.9,137.2,264500.0,533.8,36.80734405558933,61.86148973062621,0.002018,12.18,0.28588171688131153
162,19760.0,78.54,8883.0,140.6,60.76,10880.0,153.1,36.807030564526514,61.88216977886653,0.01408,17.1,58,7840.0,18.84,2901.0,88.54,50.39,4939.0,101.9,36.80717365096608,61.88217016801616,0.02063,17.83,0.24276892142846454,76,2520.0,-13.44,-1520.0,50.2,39.92,4040.0,64.14,36.80695605250323,61.88227696465409,0.01588,16.72,0.4060499572537549
163,17780.0,78.73,8904.0,133.3,72.3,8872.0,151.7,36.80678363136143,61.864791169559474,0.0171,17.32,59,5855.0,20.73,3192.0,76.52,51.27,2664.0,92.11,36.80692576118135,61.86479255764468,0.03458,18.5,0.24133045520564234,77,2496.0,-11.94,-1350.0,49.96,45.96,3846.0,67.88,36.80681144210153,61.864873753496965,0.01765,16.78,0.30102738776542154
167,12920.0,79.54,8996.0,113.7,75.43,3926.0,136.4,36.80622303954641,61.85787802372902,0.03475,18.2,60,4550.0,20.66,3180.0,67.45,48.73,1370.0,83.21,36.80639050619765,61.85787878111563,0.06073,19.23,0.2843675825561843,80,-237.2,-13.41,-1517.0,15.4,51.63,1280.0,53.87,36.80628235519128,61.85794730477215,0.0421,17.97,0.26897961601388254
169,19510.0,76.77,8683.0,139.7,81.91,10830.0,161.9,36.805413756939195,61.8921323525724,0.01495,17.1,61,8406.0,18.24,2808.0,91.68,62.91,5598.0,111.2,36.80557231781176,61.89213153747725,0.01986,17.7,0.2689477501509294,81,2614.0,-14.39,-1627.0,51.13,47.5,4241.0,69.79,36.80529117709039,61.89224871689405,0.01646,16.67,0.46766575010911127
170,29500.0,79.43,8984.0,171.7,85.25,20510.0,191.7,36.805335563640156,61.87952490750608,0.009348,16.41,62,6981.0,18.26,2811.0,83.55,55.35,4169.0,100.2,36.805489577341596,61.87952377594521,0.02404,18.02,0.26135873790158853,82,11320.0,-11.29,-1277.0,106.4,53.03,12600.0,118.9,36.80527564067779,61.879626496355,0.009438,15.49,0.3795905354115051
